artifact	artifact_size_bytes	artifact_mtime_iso	mentioned_in_colab_count	producer_candidate_count	consumer_candidate_count	commented_candidate_count	producer_candidates	consumer_candidates	commented_candidates	all_candidates
Feature-Feature_Correlation.png	5791	2022-09-15T22:14:15	2	2	0	0	Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell23:producer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell23:producer			Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell23:producer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell23:producer
S_2648_full_feature_dict.pickle	91064165	2022-08-16T11:13:42	2	0	2	0		Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer		Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer
S_2648_pmppn_info_dict.pickle	89167705	2022-08-15T00:49:34	5	0	0	5			ProteinMPNNTesting_V6.ipynb:cell18:commented_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell18:commented_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell19:commented_consumer | ProteinMPNNTesting_V7.ipynb:cell6:commented_producer_or_consumer | ProteinMPNNTesting_V7.ipynb:cell7:commented_consumer	ProteinMPNNTesting_V6.ipynb:cell18:commented_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell18:commented_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell19:commented_consumer | ProteinMPNNTesting_V7.ipynb:cell6:commented_producer_or_consumer | ProteinMPNNTesting_V7.ipynb:cell7:commented_consumer
S_2648_pmppn_info_dict_V2.pickle	156651038	2022-08-25T20:59:19	5	0	1	4		Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer	ProteinMPNNTesting_V6_V2.ipynb:cell16:commented_producer_or_consumer | ProteinMPNNTesting_V6_V2.ipynb:cell17:commented_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell17:commented_producer_or_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell19:commented_consumer	ProteinMPNNTesting_V6_V2.ipynb:cell16:commented_producer_or_consumer | ProteinMPNNTesting_V6_V2.ipynb:cell17:commented_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell17:commented_producer_or_consumer | ProteinMPNNTesting_V6_V2_debug.ipynb:cell19:commented_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer
S_2648_pmppn_info_dict_V3.pickle	183266414	2022-08-30T20:09:55	2	0	2	0		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer		Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:consumer
S_669_feature_combo_model_dict.pickle	237692804	2022-08-18T16:32:43	2	0	0	2			Quick_Dirty_MPNN_ML_V2.ipynb:cell33:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell28:commented_producer_or_consumer	Quick_Dirty_MPNN_ML_V2.ipynb:cell33:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell28:commented_producer_or_consumer
S_669_feature_combo_result_dict.pickle	6491	2022-08-18T16:33:34	2	0	0	2			Quick_Dirty_MPNN_ML_V2.ipynb:cell34:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell29:commented_producer_or_consumer	Quick_Dirty_MPNN_ML_V2.ipynb:cell34:commented_producer_or_consumer | Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell29:commented_producer_or_consumer
S_669_full_feature_dict.pickle	22928543	2022-08-16T10:58:06	2	0	2	0		Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer		Quick_Dirty_MPNN_ML.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2.ipynb:cell5:consumer
S_669_pmppn_info_dict.pickle	22466075	2022-08-15T22:42:16	2	0	0	2			S669_ProteinMPNNTesting_V6.ipynb:cell15:commented_producer_or_consumer | S669_ProteinMPNNTesting_V6.ipynb:cell16:commented_consumer	S669_ProteinMPNNTesting_V6.ipynb:cell15:commented_producer_or_consumer | S669_ProteinMPNNTesting_V6.ipynb:cell16:commented_consumer
S_669_pmppn_info_dict_V2.pickle	38853566	2022-08-25T22:55:43	5	0	1	4		Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer	Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:commented_mention | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:commented_mention | S669_ProteinMPNNTesting_V6_V2.ipynb:cell16:commented_producer_or_consumer | S669_ProteinMPNNTesting_V6_V2.ipynb:cell17:commented_consumer	Quick_Dirty_MPNN_ML_V2_V2.ipynb:cell4:consumer | Quick_Dirty_MPNN_ML_V2_V3.ipynb:cell4:commented_mention | Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb:cell4:commented_mention | S669_ProteinMPNNTesting_V6_V2.ipynb:cell16:commented_producer_or_consumer | S669_ProteinMPNNTesting_V6_V2.ipynb:cell17:commented_consumer
